AGASIGHT 淨淨價折扣計算說明
供應商,Diageo / MHD,推廣期,March 2026
訂單總額,254800,利益總值,28565,整體折扣,11.2%

=== 整體折扣計算 ===
公式,= 利益總值 / 訂單總額
計算,= 28565 / 254800 = 11.2%

=== 利益總值 28565 組成 ===
來源,說明,金額
11+1 專屬FOC,Talisker 1x415 + Glenkinchie 1x420 + Caol Ila 1x380 + Lagavulin 1x725,1940
套餐FOC均攤,Singleton13YO 18x275 + Singleton15YO 13x275 + Mortlach16YO 12x725,17225
員工激勵,Singleton13YO 180x40 + Singleton15YO 36x60,9360
利益總值合計,,28525

=== 各 SKU 折扣計算 ===
套餐FOC總值,17225
訂單總額,254800

產品,發票價/瓶,數量,SKU收入,收入佔比,套餐FOC均攤/瓶,11+1專屬FOC/瓶,員工激勵/瓶,總折扣/瓶,折扣%,淨淨價/瓶
說明,,,,=SKU收入/254800,=17225x收入佔比/數量,=1x發票價/11,=$/瓶直接計算,=均攤+專屬+激勵,=總折扣/發票價,=發票價-總折扣
Talisker 10YO,415,11,4565,1.79%,28.05,37.73,0,65.78,15.9%,349.22
Glenkinchie 12YO,420,11,4620,1.81%,28.35,38.18,0,66.53,15.8%,353.47
Caol Ila 12YO,380,11,4180,1.64%,25.66,34.55,0,60.21,15.8%,319.79
Lagavulin 16YO,725,11,7975,3.13%,48.98,65.91,0,114.89,15.8%,610.11
Singleton 12YO,275,168,46200,18.13%,18.58,0,0,18.58,6.8%,256.42
Singleton 13YO,370,180,66600,26.14%,25.01,0,40,65.01,17.6%,304.99
Singleton 15YO,545,36,19620,7.70%,36.84,0,60,96.84,17.8%,448.16
Mortlach 12YO,505,60,30300,11.89%,34.14,0,0,34.14,6.8%,470.86
Mortlach 16YO,682,60,40920,16.06%,46.10,0,0,46.10,6.8%,635.90
Mortlach Neverbound,710,42,29820,11.70%,48.00,0,0,48.00,6.8%,662.00

=== 公式說明 ===
套餐FOC均攤/瓶,= 套餐FOC總值 x (SKU收入 / 訂單總額) / SKU數量
11+1專屬FOC/瓶,= 1 x 發票價 / 11 (只適用11+1 SKU)
員工激勵/瓶,= $/瓶 x min(訂購數量 上限數量)
總折扣/瓶,= 套餐FOC均攤 + 11+1FOC + 員工激勵
折扣%,= 總折扣/瓶 / 發票價
整體折扣%,= 利益總值 / 訂單總額
